subclass_1,subclass_2,mean_win_prob,worst_matchup,worst_p,best_matchup,best_p
lifewarden,trickster,0.517,chef+chef,0.000,blacksmith+weaponmaster,0.999
cantor,duelist,0.517,weaponmaster+weaponmaster,0.000,blacksmith+trickster,1.000
chef,lifewarden,0.517,chef+chef,0.017,lifewarden+lifewarden,1.000
duelist,lightbringer,0.517,chef+chef,0.000,blacksmith+musician,1.000
musician,shadowblade,0.515,chef+chef,0.000,blacksmith+trickster,0.999
chef,lightbringer,0.513,chef+chef,0.007,lifewarden+lifewarden,1.000
alchemist,duelist,0.509,guardian+guardian,0.000,blacksmith+trickster,0.983
gunslinger,martyr,0.504,weaponmaster+weaponmaster,0.000,blacksmith+duelist,1.000
alchemist,corsair,0.500,weaponmaster+weaponmaster,0.000,blacksmith+musician,0.984
cantor,elementalist,0.499,weaponmaster+weaponmaster,0.000,lifewarden+spellblade,0.953
ranger,ranger,0.496,berserker+weaponmaster,0.000,blacksmith+trickster,0.976
ballmaster,shadowblade,0.496,guardian+guardian,-0.000,blacksmith+trickster,0.982
musician,warlord,0.496,chef+chef,-0.000,blacksmith+blacksmith,0.998
martyr,warlord,0.495,weaponmaster+weaponmaster,0.000,blacksmith+trickster,0.983
gunslinger,ranger,0.495,guardian+guardian,0.000,blacksmith+musician,0.960
cantor,shadowblade,0.494,weaponmaster+weaponmaster,0.000,blacksmith+guardian,0.999
cantor,trickster,0.489,weaponmaster+weaponmaster,0.000,blacksmith+trickster,0.998
alchemist,shadowblade,0.487,weaponmaster+weaponmaster,0.000,blacksmith+musician,0.998
gunslinger,gunslinger,0.487,warlord+warlord,0.000,blacksmith+musician,0.955
corsair,lightbringer,0.486,weaponmaster+weaponmaster,0.001,blacksmith+blacksmith,1.000
shadowblade,shadowblade,0.486,warlord+warlord,0.000,blacksmith+musician,0.881
lifewarden,shadowblade,0.484,weaponmaster+weaponmaster,0.000,blacksmith+musician,1.000
cardmaster,weaponmaster,0.484,guardian+guardian,0.000,blacksmith+trickster,0.956
alchemist,elementalist,0.482,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
cardmaster,duelist,0.482,guardian+warlord,-0.000,ballmaster+blacksmith,0.908
cardmaster,chef,0.477,chef+chef,0.000,blacksmith+chef,1.000
gunslinger,trickster,0.477,berserker+weaponmaster,0.000,lifewarden+lifewarden,0.987
musician,trickster,0.477,chef+chef,0.000,blacksmith+musician,1.000
elementalist,lifewarden,0.476,weaponmaster+weaponmaster,0.000,blacksmith+musician,0.998
berserker,lifewarden,0.473,elementalist+guardian,0.001,blacksmith+musician,0.998
elementalist,martyr,0.473,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
ballmaster,ballmaster,0.472,berserker+weaponmaster,0.000,blacksmith+trickster,0.983
ballmaster,ranger,0.471,guardian+guardian,0.000,blacksmith+blacksmith,0.917
gunslinger,lightbringer,0.467,weaponmaster+weaponmaster,0.000,blacksmith+trickster,0.998
martyr,shadowblade,0.465,weaponmaster+weaponmaster,0.000,blacksmith+guardian,1.000
ranger,trickster,0.462,guardian+warlord,0.000,blacksmith+corsair,0.976
cantor,ranger,0.460,weaponmaster+weaponmaster,0.000,blacksmith+guardian,0.993
musician,ranger,0.460,chef+chef,0.000,blacksmith+blacksmith,1.000
occultist,spellblade,0.457,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
ballmaster,trickster,0.457,berserker+weaponmaster,0.000,blacksmith+musician,0.987
alchemist,chef,0.454,chef+chef,-0.000,blacksmith+blacksmith,1.000
martyr,trickster,0.453,chef+chef,0.000,blacksmith+cardmaster,0.994
falconer,musician,0.452,chef+chef,0.000,lifewarden+lifewarden,1.000
cardmaster,occultist,0.452,guardian+warlord,-0.000,lifewarden+lifewarden,1.000
alchemist,ranger,0.451,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
berserker,lightbringer,0.450,guardian+occultist,0.000,blacksmith+musician,0.993
berserker,cardmaster,0.447,guardian+warlord,-0.000,lifewarden+lifewarden,0.907
spellblade,weaponmaster,0.447,guardian+guardian,0.000,blacksmith+trickster,0.953
duelist,martyr,0.447,weaponmaster+weaponmaster,0.000,blacksmith+trickster,1.000
lightbringer,shadowblade,0.446,chef+guardian,0.000,blacksmith+musician,1.000
martyr,ranger,0.446,weaponmaster+weaponmaster,0.000,blacksmith+guardian,0.993
alchemist,trickster,0.445,weaponmaster+weaponmaster,0.000,blacksmith+trickster,0.993
lightbringer,trickster,0.443,weaponmaster+weaponmaster,0.000,blacksmith+cardmaster,0.994
ballmaster,gunslinger,0.440,guardian+guardian,-0.000,blacksmith+trickster,0.982
berserker,spellblade,0.439,guardian+warlord,-0.000,lifewarden+lifewarden,0.904
duelist,spellblade,0.439,guardian+guardian,0.000,blacksmith+trickster,0.982
guardian,spellblade,0.436,guardian+guardian,0.000,alchemist+blacksmith,0.994
chef,spellblade,0.434,chef+chef,0.000,blacksmith+chef,1.000
alchemist,gunslinger,0.434,guardian+guardian,0.000,blacksmith+musician,0.994
cardmaster,shadowblade,0.434,guardian+guardian,-0.000,lifewarden+lifewarden,0.955
lifewarden,musician,0.433,guardian+guardian,0.000,blacksmith+blacksmith,0.998
cantor,falconer,0.431,weaponmaster+weaponmaster,0.000,blacksmith+musician,0.962
elementalist,lightbringer,0.431,berserker+weaponmaster,0.000,blacksmith+musician,0.998
cardmaster,elementalist,0.430,berserker+weaponmaster,0.000,lifewarden+lifewarden,1.000
shadowblade,trickster,0.429,guardian+warlord,0.000,blacksmith+trickster,0.954
cardmaster,corsair,0.425,guardian+guardian,-0.000,blacksmith+musician,0.890
lifewarden,ranger,0.421,chef+chef,0.000,blacksmith+blacksmith,0.984
alchemist,warlord,0.421,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
corsair,trickster,0.416,weaponmaster+weaponmaster,0.000,blacksmith+musician,0.911
elementalist,spellblade,0.413,warlord+warlord,-0.000,lifewarden+lifewarden,1.000
lightbringer,ranger,0.413,chef+guardian,0.000,blacksmith+blacksmith,0.998
alchemist,falconer,0.411,berserker+weaponmaster,0.000,lifewarden+lifewarden,1.000
lightbringer,musician,0.408,weaponmaster+weaponmaster,0.000,blacksmith+blacksmith,0.999
blacksmith,guardian,0.408,chef+guardian,0.000,blacksmith+spellblade,1.000
cardmaster,falconer,0.403,guardian+warlord,-0.000,lifewarden+lifewarden,0.984
cardmaster,ranger,0.398,guardian+guardian,-0.000,lifewarden+lifewarden,1.000
falconer,lifewarden,0.395,berserker+guardian,0.000,lifewarden+lifewarden,0.963
falconer,martyr,0.395,chef+chef,0.000,lifewarden+lifewarden,0.985
corsair,spellblade,0.393,weaponmaster+weaponmaster,-0.000,blacksmith+trickster,0.910
shadowblade,spellblade,0.386,guardian+warlord,0.000,lifewarden+lifewarden,0.953
ballmaster,musician,0.382,chef+chef,-0.000,blacksmith+warlord,0.894
cardmaster,guardian,0.380,guardian+warlord,0.000,blacksmith+blacksmith,0.983
falconer,lightbringer,0.379,weaponmaster+weaponmaster,0.000,blacksmith+musician,0.953
trickster,trickster,0.374,guardian+warlord,0.000,blacksmith+trickster,0.953
lifewarden,lightbringer,0.373,chef+chef,0.000,blacksmith+blacksmith,0.990
cardmaster,trickster,0.371,berserker+weaponmaster,0.000,blacksmith+musician,0.966
blacksmith,chef,0.370,berserker+chef,0.000,blacksmith+blacksmith,0.998
cantor,musician,0.367,chef+chef,0.001,blacksmith+blacksmith,0.937
alchemist,ballmaster,0.361,guardian+guardian,0.000,blacksmith+blacksmith,0.904
martyr,martyr,0.358,weaponmaster+weaponmaster,0.000,chef+ranger,0.982
martyr,musician,0.358,berserker+weaponmaster,0.000,blacksmith+blacksmith,0.983
lightbringer,lightbringer,0.356,chef+chef,0.000,blacksmith+blacksmith,0.986
berserker,cantor,0.356,weaponmaster+weaponmaster,0.000,blacksmith+cardmaster,0.955
berserker,martyr,0.354,weaponmaster+weaponmaster,-0.000,blacksmith+cardmaster,0.957
cardmaster,warlord,0.353,berserker+weaponmaster,0.000,blacksmith+blacksmith,0.983
berserker,blacksmith,0.353,weaponmaster+weaponmaster,0.000,cantor+spellblade,0.881
lifewarden,martyr,0.343,chef+chef,0.000,blacksmith+blacksmith,0.990
cantor,lifewarden,0.340,chef+chef,0.000,blacksmith+blacksmith,0.991
cardmaster,gunslinger,0.339,warlord+warlord,-0.000,lifewarden+lifewarden,1.000
spellblade,trickster,0.336,weaponmaster+weaponmaster,0.000,blacksmith+trickster,0.892
ballmaster,martyr,0.334,chef+chef,0.000,blacksmith+trickster,0.953
ballmaster,cantor,0.334,weaponmaster+weaponmaster,0.000,blacksmith+trickster,0.953
blacksmith,elementalist,0.334,berserker+weaponmaster,0.000,blacksmith+trickster,0.954
blacksmith,falconer,0.332,berserker+berserker,0.000,lifewarden+lifewarden,1.000
lightbringer,martyr,0.329,weaponmaster+weaponmaster,0.000,blacksmith+blacksmith,0.986
cantor,lightbringer,0.326,guardian+guardian,0.000,blacksmith+blacksmith,0.987
ballmaster,lifewarden,0.326,weaponmaster+weaponmaster,0.000,blacksmith+blacksmith,0.989
cantor,cantor,0.325,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
ranger,spellblade,0.322,warlord+warlord,-0.000,lifewarden+lifewarden,1.000
cantor,martyr,0.322,weaponmaster+weaponmaster,0.000,blacksmith+cantor,0.953
alchemist,musician,0.317,chef+chef,-0.000,blacksmith+musician,0.982
blacksmith,duelist,0.317,guardian+warlord,0.000,blacksmith+cardmaster,0.924
falconer,spellblade,0.313,guardian+warlord,-0.000,lifewarden+lifewarden,0.859
spellblade,warlord,0.313,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,0.982
gunslinger,spellblade,0.296,warlord+warlord,-0.000,lifewarden+lifewarden,1.000
ballmaster,cardmaster,0.295,guardian+guardian,-0.000,blacksmith+blacksmith,0.825
blacksmith,occultist,0.293,weaponmaster+weaponmaster,-0.000,blacksmith+musician,0.994
blacksmith,weaponmaster,0.291,weaponmaster+weaponmaster,-0.000,blacksmith+blacksmith,0.995
alchemist,alchemist,0.277,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
blacksmith,gunslinger,0.273,weaponmaster+weaponmaster,-0.000,blacksmith+blacksmith,0.825
lifewarden,lifewarden,0.268,cantor+cantor,-0.000,blacksmith+blacksmith,0.996
ballmaster,lightbringer,0.267,weaponmaster+weaponmaster,0.000,blacksmith+blacksmith,0.909
blacksmith,ranger,0.264,weaponmaster+weaponmaster,-0.000,blacksmith+blacksmith,0.883
musician,spellblade,0.262,berserker+berserker,0.000,blacksmith+chef,0.786
cardmaster,musician,0.261,chef+chef,-0.000,blacksmith+musician,0.731
blacksmith,warlord,0.252,weaponmaster+weaponmaster,-0.000,blacksmith+musician,0.831
ballmaster,spellblade,0.252,guardian+warlord,-0.000,lifewarden+lifewarden,0.881
alchemist,cantor,0.248,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
blacksmith,martyr,0.248,chef+chef,0.000,blacksmith+blacksmith,0.780
alchemist,lifewarden,0.246,chef+chef,0.000,blacksmith+musician,0.881
alchemist,martyr,0.244,chef+chef,0.000,lifewarden+lifewarden,1.000
blacksmith,cantor,0.244,weaponmaster+weaponmaster,0.000,cardmaster+martyr,0.731
alchemist,lightbringer,0.241,weaponmaster+weaponmaster,0.000,blacksmith+musician,0.881
ballmaster,blacksmith,0.238,weaponmaster+weaponmaster,0.000,blacksmith+blacksmith,0.994
blacksmith,corsair,0.233,weaponmaster+weaponmaster,-0.000,lightbringer+spellblade,0.881
blacksmith,shadowblade,0.228,weaponmaster+weaponmaster,0.000,blacksmith+blacksmith,0.994
cardmaster,cardmaster,0.225,guardian+warlord,-0.000,lifewarden+lifewarden,0.767
alchemist,cardmaster,0.218,guardian+warlord,-0.000,lifewarden+lifewarden,0.881
cardmaster,martyr,0.217,chef+chef,0.000,lifewarden+lifewarden,0.797
cardmaster,lightbringer,0.217,weaponmaster+weaponmaster,0.000,blacksmith+blacksmith,0.667
blacksmith,lifewarden,0.212,chef+chef,-0.000,blacksmith+blacksmith,0.804
blacksmith,lightbringer,0.204,weaponmaster+weaponmaster,0.000,blacksmith+blacksmith,0.758
alchemist,blacksmith,0.204,guardian+occultist,-0.000,blacksmith+blacksmith,0.789
cantor,cardmaster,0.197,weaponmaster+weaponmaster,0.000,blacksmith+blacksmith,0.789
cardmaster,lifewarden,0.187,weaponmaster+weaponmaster,0.000,blacksmith+blacksmith,0.833
alchemist,spellblade,0.187,guardian+warlord,-0.000,lifewarden+lifewarden,0.881
cardmaster,spellblade,0.184,guardian+warlord,-0.000,lifewarden+lifewarden,0.767
blacksmith,cardmaster,0.175,berserker+weaponmaster,-0.000,blacksmith+blacksmith,0.750
martyr,spellblade,0.174,weaponmaster+weaponmaster,-0.000,cardmaster+lifewarden,0.731
cantor,spellblade,0.174,weaponmaster+weaponmaster,-0.000,cardmaster+lifewarden,0.731
spellblade,spellblade,0.171,warlord+warlord,-0.000,blacksmith+blacksmith,0.676
lifewarden,spellblade,0.164,weaponmaster+weaponmaster,-0.000,blacksmith+blacksmith,0.667
lightbringer,spellblade,0.162,warlord+weaponmaster,0.000,blacksmith+blacksmith,0.768
blacksmith,spellblade,0.154,berserker+berserker,0.000,blacksmith+blacksmith,0.705
blacksmith,trickster,0.148,chef+guardian,-0.000,blacksmith+blacksmith,0.993
blacksmith,musician,0.125,chef+chef,-0.000,blacksmith+blacksmith,1.000
blacksmith,blacksmith,0.116,alchemist+chef,0.000,blacksmith+falconer,0.546
