subclass_1,subclass_2,mean_win_prob_free
musician,spellblade,0.268
alchemist,cantor,0.264
alchemist,martyr,0.263
cardmaster,lifewarden,0.247
alchemist,alchemist,0.245
blacksmith,lifewarden,0.243
cardmaster,lightbringer,0.238
cantor,cardmaster,0.235
blacksmith,martyr,0.230
blacksmith,cantor,0.229
cardmaster,martyr,0.229
ballmaster,blacksmith,0.228
blacksmith,trickster,0.227
blacksmith,lightbringer,0.221
alchemist,cardmaster,0.216
cardmaster,cardmaster,0.213
lifewarden,spellblade,0.201
cantor,spellblade,0.183
lightbringer,spellblade,0.181
blacksmith,musician,0.180
alchemist,spellblade,0.173
alchemist,blacksmith,0.165
martyr,spellblade,0.159
cardmaster,spellblade,0.152
spellblade,spellblade,0.150
blacksmith,cardmaster,0.145
blacksmith,blacksmith,0.140
blacksmith,spellblade,0.127
